Company_Name,Company_Logo,Company_Description,Organization_Type,Staff,Development_Budget,Headquarters,Founded,website_link,Sectors,Funded,Countries,Skills,Contract_Name,Contract_Fundier
Cultivating New Frontiers in Agriculture (CNFA),,,,,,,,,,,,,"['Technical Assistance to Nutrition Programme', 'Suppor for a Resilient Economy and Improvement of Business-Enabling Environment', 'Feed the Future: Promote Private Sector Investment in Agriculture', 'Feed the Future: Agribusiness Investment Activity', 'Feed the Future: Agribusiness Development Activity', 'Sustainable Development For Smallholder Farmers', 'Feed the Future: Commercial Farm Services', 'Feed the Future: Improving the Knowledge of and Access to Quality Agricultural Inputs for Farmers (Agro-Inputs)', 'Feed the Future: The John Ogonowski and Doug Bereuter Farmer-to-Farmer Program', 'Feed the Future: Agricultural Growth Project – Livestock Market Development']","['EC - Directorate General for International Partnerships DG-INTPA (former DEVCO - EuropeAid)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)']"
Netherlands Development Finance Company (FMO),,,,,,,,,,,,,,
Council of Europe (CoE),,,,,,,,,,,,,,
United Nations Office of Information and Communications Technology (OICT),,,,,,,,,,,,,,
International City/County Management Association (ICMA),,,,,,,,,,,,,"['Cities for Enhanced Engagement and Governance (CHANGE) Activity', 'Municipal Infrastructure Development Project', 'Communal Services Development Fund', 'Solution Design for the Final Disposal of Solid Waste in the Dominican Republic', 'USAID contract in United States: AIDLAGI039900008', 'USAID contract in Bolivia: AID511C000300236']","['United States Agency for International Development (USAID)', 'World Bank Group', 'World Bank Group', 'Inter-American Development Bank (IDB)', 'United States Agency for International Development (USAID)', 'United States Agency for International Development (USAID)']"
United Nations Global Service Centre (UNGSC) / United Nations Logistics Base (UNLB),,,,,,,,,,,,,,
War Child Holland,,,,,,,,,,,,,"['Back to the Future: School Readiness, Inclusion and Retention for Children Victims of the Syrian Crisis', 'Can’t Wait to Learn: a Project that uses Innovative, Cost-effective Technology Solutions to Increase the Number of Emergency Affected Children with Access to Quality Education in Sudan and Two Countries in the Middle East']","['Other - European Union', 'Department for International Development (DFID) - United Kingdom, United Nations (UN)']"
Amnesty International,,,,,,,,,,,,,"['Promote and Encourage Community Cohesion, Integration and Resilience in Greece', 'Provide General Support', ""Protect Refugee and Migrants Rights' against Harmful Technological Developments"", 'Promote the Protection of Migrants, Asylum Seekers and Refugees in Mexico and Central America in the Context of Covid-19', 'Provide General Support', 'Explore Good Practices for Law Enforcement Monitoring and Oversight', ""Support Amnesty International's Campaign on ‘Surveillance Giants’"", 'Advancing Online/Digital Communications', 'Implement a Rapid Response Fund for Civil Society Organizations to Protect Vulnerable Populations During the Covid-19 Pandemic in Mexico', ""Support Amnesty International's International  Secretariat to Grow and Mobilise its Supporter Base, Improve its Communications and Messaging, and Diversify its Global Income""]","['Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'Open Society Foundations (OSF)', 'MacArthur Foundation', 'OAK Foundation']"
United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA),,,,,,,,,,,,,"['Canada’s Assessed Contribution to the UN Multidimensional Integrated Stabilization Mission (MINUSCA)', 'Canada’s Assessed Contribution to the UN Multidimensional Integrated Stabilization Mission (MINUSCA)', 'Canada’s Assessed Contribution to the UN Multidimensional Integrated Stabilization Mission', 'Canada’s assessed contribution to the UN Multidimensional Integrated Mission in the Central African Republic']","['Global Affairs Canada (GAC)', 'Global Affairs Canada (GAC)', 'Global Affairs Canada (GAC)', 'Global Affairs Canada (GAC)']"
GITEC-IGIP GmbH,,,,,,,,,,,,,"['Protection of Biodiversity Services', 'Protection of Biodiversity', 'Implementation-Oriented Environmental and Forest Management (ProAmbiente)', 'Consulting for Elaboracation of Climate Letters Aiming at Edafoclimatico Zoning of the State of To', 'Services for Deforestation-free and Climate-friendly Land Use', 'Strengthening Regional Cooperation for Protection', 'Technical Assistance to the Climate Change Sector Reform Performance', 'Provision of Sanitation Services', 'Provision of General Services for Implementation of the National Biocorridor Program', 'Provision of Biodiversity Protection Services']","['Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'World Bank Group', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'EC - Directorate General for International Partnerships DG-INTPA (former DEVCO - EuropeAid)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)', 'Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ)']"
responsAbility Investments AG,,,,,,,,,,,,,"['Provision of Services to Mitigate Climate Change and to Improve Access to Sustainable and Clean Energy', 'Provision of Services for Responsible Tourism Empowering People with Disability']","['Oesterreichische Entwicklungsbank AG - Development Bank of Austria (OeEB)', 'Other - Private Foundations / Corporations']"
CRDF Global,,,,,,,,,,,,,"['Advancing Scale Up of Fecal Sludge and Septage Management Solutions Across Urban Areas', 'Biosecurity Engagement in Iraq BIO-2016-0029']","['Bill & Melinda Gates Foundation (B&MGF)', 'Global Affairs Canada (GAC)']"
Helmsley Charitable Trust,,,,,,,,,,,,,,
ActionAid,,,,,,,,,,,,,"['Networking and Social Participation for Conservation of the Cerrado', 'To Improve Industrial Relations and Empower Women Garment Workers in Bangladesh by Fostering Education on Labor Rights, Supporting Dispute Resolution and increasing Accessto Legal Aid and Arbitration Channels', 'Consultancy Services to Supporting Small-Holder Farmers in the Sustainable Production and Marketing of Tubers', 'SMILE (OVC Project)', 'Campaign for Pro-Poor, Effective, and Inclusive Land Reforms', 'Strengthen Social and Environmental Standards Governing International Financial Flows', 'Strengthening Network Capacity for Gender Welfare', 'Strengthening the Capacity of Civil Society Organizations', 'Strengthening the Effectiveness of Women Organisations against Gender-based Violence', 'Democratic Practice Program']","['Critical Ecosystem Partnership Fund (CEPF)', 'Levi Strauss Foundation', 'Other - European Union, Other - Funding NGO / CSO', 'United States Agency for International Development (USAID)', 'Ministry of Foreign Affairs (MFA) - The Netherlands', 'Charles Stewart Mott Foundation', 'Other - Funding NGO / CSO', 'Other - Funding NGO / CSO', 'Other - Funding NGO / CSO', 'Rockefeller Brothers Fund (RBF)']"
